step,token_id,token_text,wall_us,n_kv_cells,rss_kb,log_prob,nll,evicted_this_step
0,26155," fleet",131500527,9737,555004,-2.428002,2.428002,0
1,574," was",131547992,9738,535196,-0.633810,0.633810,0
2,6319," designed",131567829,9739,535196,-0.864254,0.864254,0
3,311," to",131587853,9740,535324,-0.008511,0.008511,0
4,387," be",131608514,9741,535244,-0.096777,0.096777,0
5,13171," capable",131633961,9742,535304,-0.885369,0.885369,0
6,315," of",131664712,9743,535380,-0.000983,0.000983,0
7,11039," fighting",131690713,9744,535380,-2.433324,2.433324,0
8,264," a",131719144,9745,535380,-0.740148,0.740148,0
9,1403," two",131746865,9746,535380,-1.074725,1.074725,0
10,12,"-",131774312,9747,535352,-1.384412,1.384412,0
11,5383,"ship",131803908,9748,535352,-0.849639,0.849639,0
12,8209," battle",131833810,9749,535352,-0.108282,0.108282,0
13,304," in",131862539,9750,535476,-0.876465,0.876465,0
14,11002," Japanese",131890602,9751,535476,-0.463300,0.463300,0
15,21160," waters",131921242,9752,535476,-0.007816,0.007816,0
16,323," and",131948276,9753,535484,-1.416798,1.416798,0
17,1053," would",131976327,9754,535484,-1.002852,1.002852,0
18,617," have",132002359,9755,535484,-1.805700,1.805700,0
19,1027," been",132028378,9756,535484,-0.546031,0.546031,0
20,279," the",132054928,9757,535484,-1.010091,1.010091,0
21,7928," largest",132081505,9758,535484,-0.432500,0.432500,0
22,26155," fleet",132109167,9759,535484,-0.600199,0.600199,0
23,3596," ever",132135870,9760,535484,-0.959567,0.959567,0
24,5918," built",132170032,9761,535484,-0.978886,0.978886,0
25,520," at",132205056,9762,535484,-0.809187,0.809187,0
26,430," that",132233207,9763,535512,-2.227523,2.227523,0
27,892," time",132269905,9764,535468,-0.003606,0.003606,0
28,662," .",132301919,9765,535468,-0.024703,0.024703,0
29,578," The",132333253,9766,535468,-0.237810,0.237810,0
30,2955," design",132363666,9767,535468,-0.904375,0.904375,0
31,315," of",132390228,9768,535464,-0.119119,0.119119,0
32,279," the",132417472,9769,535464,-0.011279,0.011279,0
33,25572," battles",132444786,9770,535464,-0.156577,0.156577,0
34,34322,"hips",132472499,9771,535464,-0.060013,0.060013,0
35,574," was",132498847,9772,535464,-0.181854,0.181854,0
36,28160," influenced",132525253,9773,535460,-0.484704,0.484704,0
37,555," by",132552071,9774,535444,-0.012617,0.012617,0
38,279," the",132579090,9775,535464,-0.055861,0.055861,0
39,11002," Japanese",132605234,9776,535464,-1.416001,1.416001,0
40,19574," Navy",132631208,9777,535464,-0.923290,0.923290,0
41,596,"'s",132657070,9778,535464,-0.117604,0.117604,0
42,12876," desire",132683644,9779,535464,-0.785538,0.785538,0
43,311," to",132710336,9780,535464,-0.010988,0.010988,0
44,10519," maintain",132738128,9781,535464,-0.433855,0.433855,0
45,264," a",132765618,9782,535436,-0.069684,0.069684,0
46,26155," fleet",132792383,9783,535436,-0.092702,0.092702,0
47,449," with",132819413,9784,535436,-2.398304,2.398304,0
48,520," at",132846233,9785,535404,-2.274772,2.274772,0
49,3325," least",132873528,9786,535404,-0.000026,0.000026,0
50,220," ",132904987,9787,535404,-0.002645,0.002645,0
51,2031,"70",132933979,9788,535404,-0.036716,0.036716,0
52,1034," %",132960843,9789,535404,-0.164724,0.164724,0
53,439," as",132987426,9790,535404,-0.048794,0.048794,0
54,1690," many",133014811,9791,535404,-0.000292,0.000292,0
55,6864," capital",133041924,9792,535404,-0.000635,0.000635,0
56,18198," ships",133068172,9793,535404,-0.001245,0.001245,0
57,439," as",133096039,9794,535404,-0.000701,0.000701,0
58,279," the",133122631,9795,535404,-0.000946,0.000946,0
59,2326," US",133150393,9796,535404,-0.000781,0.000781,0
60,19574," Navy",133181654,9797,535432,-0.001297,0.001297,0
61,662," .",133211217,9798,535432,-0.164805,0.164805,0
62,578," The",133239281,9799,535432,-0.272344,0.272344,0
63,358," I",133270150,9800,535464,-1.348686,1.348686,0
64,41,"J",133297757,9801,535464,-0.285616,0.285616,0
65,45,"N",133326066,9802,535464,-0.030912,0.030912,0
66,364," '",133357671,9803,535464,-0.328145,0.328145,0
67,82,"s",133384378,9804,535464,-0.000041,0.000041,0
68,26155," fleet",133410955,9805,535464,-0.119938,0.119938,0
69,574," was",133437282,9806,535464,-2.305144,2.305144,0
70,6319," designed",133464080,9807,535464,-1.086508,1.086508,0
71,311," to",133490022,9808,535464,-0.045252,0.045252,0
72,387," be",133516224,9809,535456,-0.021164,0.021164,0
73,13171," capable",133543397,9810,535456,-0.312790,0.312790,0
74,315," of",133569683,9811,535452,-0.000200,0.000200,0
75,11039," fighting",133595810,9812,535452,-0.009856,0.009856,0
76,264," a",133622253,9813,535452,-0.004854,0.004854,0
77,1403," two",133649684,9814,535452,-0.003169,0.003169,0
78,12,"-",133678222,9815,535452,-0.002704,0.002704,0
79,5383,"ship",133709746,9816,535452,-0.020872,0.020872,0
80,8209," battle",133736996,9817,535456,-0.001652,0.001652,0
81,304," in",133764483,9818,535456,-0.000915,0.000915,0
82,11002," Japanese",133809081,9819,535456,-0.000321,0.000321,0
83,21160," waters",133844681,9820,535456,-0.000148,0.000148,0
84,323," and",133877546,9821,535456,-0.007922,0.007922,0
85,1053," would",133908075,9822,535456,-0.037316,0.037316,0
86,617," have",133935954,9823,535456,-0.002300,0.002300,0
87,1027," been",133963866,9824,535456,-0.000348,0.000348,0
88,279," the",133993702,9825,535456,-0.000152,0.000152,0
89,7928," largest",134021403,9826,535456,-0.000155,0.000155,0
90,26155," fleet",134049232,9827,535456,-0.000500,0.000500,0
91,3596," ever",134078359,9828,535464,-0.000221,0.000221,0
92,5918," built",134105801,9829,535464,-0.000585,0.000585,0
93,520," at",134133509,9830,535464,-0.000243,0.000243,0
94,430," that",134162131,9831,535464,-0.000556,0.000556,0
95,892," time",134198222,9832,535464,-0.000015,0.000015,0
96,662," .",134225124,9833,535464,-0.013723,0.013723,0
97,578," The",134252841,9834,535464,-0.012106,0.012106,0
98,2955," design",134282212,9835,535464,-0.002033,0.002033,0
99,315," of",134309849,9836,535464,-0.003819,0.003819,0
100,279," the",134339795,9837,535464,-0.000065,0.000065,0
101,25572," battles",134366845,9838,535464,-0.005406,0.005406,0
102,34322,"hips",134392874,9839,535464,-0.005858,0.005858,0
103,574," was",134418958,9840,535464,-0.002021,0.002021,0
104,28160," influenced",134444965,9841,535464,-0.000324,0.000324,0
105,555," by",134472123,9842,535464,-0.000067,0.000067,0
106,279," the",134499058,9843,535464,-0.000102,0.000102,0
107,11002," Japanese",134525490,9844,535464,-0.000142,0.000142,0
108,19574," Navy",134551839,9845,535464,-0.001209,0.001209,0
109,596,"'s",134578713,9846,535464,-0.008516,0.008516,0
110,12876," desire",134606495,9847,535464,-0.000212,0.000212,0
111,311," to",134636445,9848,535464,-0.000062,0.000062,0
112,10519," maintain",134666579,9849,535464,-0.000715,0.000715,0
113,264," a",134697755,9850,535464,-0.000079,0.000079,0
114,26155," fleet",134726237,9851,535464,-0.000103,0.000103,0
115,449," with",134758936,9852,535464,-0.000204,0.000204,0
116,520," at",134790040,9853,535464,-0.001388,0.001388,0
117,3325," least",134821910,9854,535464,-0.000023,0.000023,0
118,220," ",134858150,9855,535464,-0.000017,0.000017,0
119,2031,"70",134884851,9856,535464,-0.000243,0.000243,0
120,1034," %",134912552,9857,535464,-0.026194,0.026194,0
121,439," as",134939817,9858,535464,-0.000024,0.000024,0
122,1690," many",134967258,9859,535464,-0.000027,0.000027,0
123,6864," capital",134993187,9860,535464,-0.000010,0.000010,0
124,18198," ships",135020431,9861,535464,-0.000367,0.000367,0
125,439," as",135047052,9862,535464,-0.000012,0.000012,0
126,279," the",135075727,9863,535464,-0.000004,0.000004,0
127,2326," US",135104145,9864,535464,-0.000055,0.000055,0
128,19574," Navy",135131001,9865,535464,-0.000251,0.000251,0
129,662," .",135157297,9866,535464,-0.014368,0.014368,0
130,578," The",135184376,9867,535464,-0.008408,0.008408,0
131,358," I",135211564,9868,535464,-0.163413,0.163413,0
132,41,"J",135237605,9869,535464,-0.001651,0.001651,0
133,45,"N",135264463,9870,535464,-0.001399,0.001399,0
134,364," '",135291015,9871,535464,-0.015386,0.015386,0
135,82,"s",135317445,9872,535464,-0.000010,0.000010,0
136,26155," fleet",135343877,9873,535464,-0.002160,0.002160,0
137,574," was",135369815,9874,535464,-0.006733,0.006733,0
138,6319," designed",135396167,9875,535464,-0.000870,0.000870,0
139,311," to",135422885,9876,535464,-0.000285,0.000285,0
140,387," be",135448810,9877,535464,-0.000109,0.000109,0
141,13171," capable",135476921,9878,535464,-0.002298,0.002298,0
142,315," of",135510041,9879,535464,-0.000053,0.000053,0
143,11039," fighting",135538593,9880,535464,-0.000106,0.000106,0
144,264," a",135573626,9881,535464,-0.000383,0.000383,0
145,1403," two",135604270,9882,535464,-0.000168,0.000168,0
146,12,"-",135633680,9883,535464,-0.000404,0.000404,0
147,5383,"ship",135662675,9884,535464,-0.012365,0.012365,0
148,8209," battle",135691291,9885,535464,-0.000501,0.000501,0
149,304," in",135721805,9886,535464,-0.000041,0.000041,0
150,11002," Japanese",135751458,9887,535464,-0.000048,0.000048,0
151,21160," waters",135778203,9888,535464,-0.000126,0.000126,0
152,323," and",135806270,9889,535464,-0.000197,0.000197,0
153,1053," would",135833383,9890,535464,-0.001670,0.001670,0
154,617," have",135861459,9891,535464,-0.000283,0.000283,0
155,1027," been",135891964,9892,535464,-0.000046,0.000046,0
156,279," the",135921790,9893,535464,-0.000024,0.000024,0
157,7928," largest",135952881,9894,535464,-0.000056,0.000056,0
158,26155," fleet",135980103,9895,535464,-0.000156,0.000156,0
159,3596," ever",136007099,9896,535464,-0.000075,0.000075,0
160,5918," built",136034324,9897,535464,-0.000319,0.000319,0
161,520," at",136061595,9898,535464,-0.000038,0.000038,0
162,430," that",136089079,9899,535464,-0.000102,0.000102,0
163,892," time",136117976,9900,535464,-0.000010,0.000010,0
164,662," .",136144708,9901,535464,-0.031769,0.031769,0
165,578," The",136171288,9902,535464,-0.006462,0.006462,0
166,2955," design",136197785,9903,535464,-0.007392,0.007392,0
167,315," of",136224625,9904,535464,-0.001301,0.001301,0
168,279," the",136251177,9905,535464,-0.000043,0.000043,0
169,25572," battles",136277694,9906,535464,-0.004666,0.004666,0
170,34322,"hips",136309629,9907,535464,-0.005268,0.005268,0
171,574," was",136336381,9908,535464,-0.001080,0.001080,0
172,28160," influenced",136363967,9909,535464,-0.000382,0.000382,0
173,555," by",136393598,9910,535464,-0.000059,0.000059,0
174,279," the",136435951,9911,535464,-0.000078,0.000078,0
175,11002," Japanese",136464366,9912,535464,-0.000139,0.000139,0
176,19574," Navy",136495605,9913,535464,-0.000500,0.000500,0
177,596,"'s",136525300,9914,535464,-0.001251,0.001251,0
178,12876," desire",136553863,9915,535464,-0.000133,0.000133,0
179,311," to",136579962,9916,535464,-0.000061,0.000061,0
180,10519," maintain",136608522,9917,535464,-0.000504,0.000504,0
181,264," a",136635634,9918,535464,-0.000078,0.000078,0
182,26155," fleet",136663238,9919,535464,-0.000066,0.000066,0
183,449," with",136689578,9920,535464,-0.000203,0.000203,0
184,520," at",136715979,9921,535464,-0.001258,0.001258,0
185,3325," least",136742099,9922,535464,-0.000028,0.000028,0
186,220," ",136770779,9923,535464,-0.000017,0.000017,0
187,2031,"70",136801807,9924,535464,-0.000147,0.000147,0
188,1034," %",136829336,9925,535464,-0.035828,0.035828,0
189,439," as",136857232,9926,535464,-0.000029,0.000029,0
190,1690," many",136889298,9927,535464,-0.000035,0.000035,0
191,6864," capital",136916215,9928,535464,-0.000013,0.000013,0
192,18198," ships",136949810,9929,535464,-0.000328,0.000328,0
193,439," as",136983003,9930,535464,-0.000008,0.000008,0
194,279," the",137012917,9931,535464,-0.000007,0.000007,0
195,2326," US",137039754,9932,535464,-0.000053,0.000053,0
196,19574," Navy",137065850,9933,535464,-0.000190,0.000190,0
197,662," .",137092192,9934,535464,-0.035819,0.035819,0
198,578," The",137118607,9935,535464,-0.005582,0.005582,0
199,358," I",137144757,9936,535464,-0.103686,0.103686,0
200,41,"J",137172565,9937,535464,-0.000726,0.000726,0
201,45,"N",137200077,9938,535464,-0.000857,0.000857,0
202,364," '",137226594,9939,535464,-0.009533,0.009533,0
203,82,"s",137268003,9940,535464,-0.000012,0.000012,0
204,26155," fleet",137298139,9941,535464,-0.000694,0.000694,0
205,574," was",137326355,9942,535464,-0.001985,0.001985,0
206,6319," designed",137353066,9943,535464,-0.000952,0.000952,0
207,311," to",137380006,9944,535464,-0.000128,0.000128,0
208,387," be",137410760,9945,535464,-0.000050,0.000050,0
209,13171," capable",137440625,9946,535464,-0.001542,0.001542,0
210,315," of",137472118,9947,535464,-0.000057,0.000057,0
211,11039," fighting",137502771,9948,535464,-0.000061,0.000061,0
212,264," a",137529457,9949,535464,-0.000474,0.000474,0
213,1403," two",137555630,9950,535464,-0.000075,0.000075,0
214,12,"-",137581827,9951,535464,-0.000103,0.000103,0
215,5383,"ship",137607927,9952,535464,-0.010371,0.010371,0
216,8209," battle",137634376,9953,535464,-0.000310,0.000310,0
217,304," in",137661090,9954,535340,-0.000027,0.000027,0
218,11002," Japanese",137687436,9955,535340,-0.000060,0.000060,0
219,21160," waters",137714670,9956,535340,-0.000116,0.000116,0
220,323," and",137741761,9957,535464,-0.000116,0.000116,0
221,1053," would",137770356,9958,535464,-0.000881,0.000881,0
222,617," have",137801652,9959,535464,-0.000174,0.000174,0
223,1027," been",137831176,9960,535464,-0.000024,0.000024,0
224,279," the",137859274,9961,535464,-0.000013,0.000013,0
225,7928," largest",137886145,9962,535464,-0.000036,0.000036,0
226,26155," fleet",137912664,9963,535464,-0.000125,0.000125,0
227,3596," ever",137938768,9964,535464,-0.000060,0.000060,0
228,5918," built",137965979,9965,535464,-0.000314,0.000314,0
229,520," at",137999940,9966,535464,-0.000025,0.000025,0
230,430," that",138026379,9967,535464,-0.000060,0.000060,0
231,892," time",138050373,9968,535464,-0.000009,0.000009,0
232,662," .",138072570,9969,535464,-0.055878,0.055878,0
233,578," The",138094730,9970,535464,-0.006188,0.006188,0
234,2955," design",138116602,9971,535464,-0.004138,0.004138,0
235,315," of",138138379,9972,535464,-0.000520,0.000520,0
236,279," the",138160992,9973,535464,-0.000029,0.000029,0
237,25572," battles",138186261,9974,535464,-0.001570,0.001570,0
238,34322,"hips",138213131,9975,535464,-0.004398,0.004398,0
239,574," was",138240108,9976,535464,-0.000631,0.000631,0
240,28160," influenced",138268802,9977,535464,-0.000223,0.000223,0
241,555," by",138296189,9978,535464,-0.000036,0.000036,0
242,279," the",138327207,9979,535464,-0.000034,0.000034,0
243,11002," Japanese",138354052,9980,535464,-0.000104,0.000104,0
244,19574," Navy",138385346,9981,535464,-0.000199,0.000199,0
245,596,"'s",138412099,9982,535464,-0.000562,0.000562,0
246,12876," desire",138441317,9983,535464,-0.000096,0.000096,0
247,311," to",138468084,9984,535464,-0.000044,0.000044,0
248,10519," maintain",138496924,9985,535464,-0.000229,0.000229,0
249,264," a",138522954,9986,535464,-0.000057,0.000057,0
250,26155," fleet",138549005,9987,535464,-0.000040,0.000040,0
251,449," with",138574872,9988,535464,-0.000100,0.000100,0
252,520," at",138600862,9989,535464,-0.000499,0.000499,0
253,3325," least",138627290,9990,535464,-0.000029,0.000029,0
254,220," ",138653413,9991,535464,-0.000012,0.000012,0
