wall_clock_s,monotonic_s,cpullc-0-0_temp_mc,cpullc-0-1_temp_mc,cpu-0-2-1_temp_mc,cpu-0-3-0_temp_mc,cpu-0-3-1_temp_mc,cpu-0-4-0_temp_mc,cpu-0-4-1_temp_mc,cpu-0-5-0_temp_mc,cpu-0-5-1_temp_mc,cpullc-1-0_temp_mc,cpullc-1-1_temp_mc,qmx-1-0_temp_mc,qmx-0-0_temp_mc,qmx-1-1_temp_mc,qmx-1-2_temp_mc,qmx-1-3_temp_mc,qmx-1-4_temp_mc,cpu-1-0-0_temp_mc,cpu-1-0-1_temp_mc,cpu-1-1-0_temp_mc,cpu-1-1-1_temp_mc,nsphvx-0_temp_mc,nsphvx-1_temp_mc,qmx-0-1_temp_mc,nsphvx-2_temp_mc,nsphvx-3_temp_mc,nsphmx-0_temp_mc,nsphmx-1_temp_mc,nsphmx-2_temp_mc,nsphmx-3_temp_mc,gpuss-0_temp_mc,gpuss-1_temp_mc,gpuss-2_temp_mc,gpuss-3_temp_mc,qmx-0-2_temp_mc,gpuss-4_temp_mc,gpuss-5_temp_mc,gpuss-6_temp_mc,gpuss-7_temp_mc,gpuss-8_temp_mc,gpuss-9_temp_mc,gpuss-10_temp_mc,ddr_temp_mc,mdmss-0_temp_mc,mdmss-1_temp_mc,cpu-0-0-0_temp_mc,mdmss-2_temp_mc,mdmss-3_temp_mc,camera-0_temp_mc,camera-1_temp_mc,video_temp_mc,pmh0104_tz_temp_mc,socd_temp_mc,pmh0101-bcl-lvl0_temp_mc,pmr735d_tz_temp_mc,sys-therm-0_temp_mc,cpu-0-0-1_temp_mc,cpu-hw-trip-0_temp_mc,pmh0101-bcl-lvl1_temp_mc,shell_front_temp_mc,pm8010m_tz_temp_mc,wireless_temp_mc,sys-therm-2_temp_mc,cpu-hw-trip-1_temp_mc,shell_frame_temp_mc,pmh0101-bcl-lvl2_temp_mc,shell_back_temp_mc,cpu-0-1-0_temp_mc,sys-therm-3_temp_mc,vbat_temp_mc,sys-therm-4_temp_mc,pmih010x-ibat-lvl0_temp_mc,sys-therm-5_temp_mc,pmih010x-ibat-lvl1_temp_mc,sys-therm-6_temp_mc,sys-therm-7_temp_mc,pmih010x-bcl-lvl0_temp_mc,sys-therm-9_temp_mc,cpu-0-1-1_temp_mc,pmih010x-bcl-lvl1_temp_mc,sys-therm-12_temp_mc,pmih010x-bcl-lvl2_temp_mc,flash_temp_temp_mc,board_temp_temp_mc,svooc_mos_btb_usr_temp_mc,pmh0101_tz_temp_mc,pmh0110_d_tz_temp_mc,pmh0110_f_tz_temp_mc,pmh0110_g_tz_temp_mc,cpu-0-2-0_temp_mc,pmh0110_i_tz_temp_mc,pmih010x_tz_temp_mc,pmih010x_lite_tz_temp_mc,battery_temp_mc,usb_temp_mc,sdr0_pa_temp_mc,sdr0_temp_mc,mmw_ific0_temp_mc,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,sdb_w_completed,sdb_w_merged,sdb_sectors_w,sdb_ms_w,sdc_w_completed,sdc_w_merged,sdc_sectors_w,sdc_ms_w,sdd_w_completed,sdd_w_merged,sdd_sectors_w,sdd_ms_w,sde_w_completed,sde_w_merged,sde_sectors_w,sde_ms_w,sdf_w_completed,sdf_w_merged,sdf_sectors_w,sdf_ms_w,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,mem_total_kb,mem_free_kb,mem_avail_kb,psi_cpu_a10,psi_mem_a10,psi_io_a10,vmstat_pswpout,vmstat_pgmajfault,vmstat_pgpgout,vmstat_pswpin,probe_pid,probe_write_bytes,probe_read_bytes,cpu0_freq_hz,cpu1_freq_hz,cpu2_freq_hz,cpu3_freq_hz,cpu4_freq_hz,cpu5_freq_hz,cpu6_freq_hz,cpu7_freq_hz,cpu0_cool_state,cpu1_cool_state,cpu2_cool_state,cpu3_cool_state,cpu4_cool_state,cpu5_cool_state,cpu6_cool_state,cpu7_cool_state,gpu_busy_us,gpu_total_us,bat_current_ma,bat_voltage_mv,bat_phone_temp_dc,usb_online,usb_current_ua,usb_voltage_uv,bat_charge_uah,bat_power_now_uw,bat_current_now_ua,bat_voltage_now_uv,bat_status,gpu_clk_hz
1784645955.895015456,1264.10,37000,37000,37400,36200,35800,36600,36600,37000,37000,34900,35600,35200,36300,35200,35200,35200,35600,34900,34900,35200,36000,34100,34500,36600,34500,34500,33700,34500,33700,34100,35100,35900,35500,34700,36300,35100,35500,34700,35100,35900,35100,35500,35500,34900,34500,36600,34500,34900,34500,34900,34900,37000,0,0,37000,33496,36600,95000,0,32736,37000,32500,34671,95000,31790,0,31969,37700,32577,0,34334,0,34422,0,35909,33747,0,34340,37700,0,36596,0,33896,34230,34294,34228,34361,33893,35331,36600,34027,33592,58468,32500,3100,-273000,-273000,-273000,93418,851,2678904,100257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93418,851,2678904,100257,15475008,1416056,10486448,5.09,0.00,0.00,425422,124253,3096972,106214,,,,1440000,1440000,1440000,1440000,1440000,1440000,883200,883200,0,,,,,,0,,80147,1001373,0,4953,320,1,166000,5018000,7014000,0,0,4474000,Notcharging,222000000
1784645956.407313581,1264.61,35900,36300,36200,35400,35800,36200,35800,36200,35800,35200,35600,35600,35900,36000,35200,35600,35200,35600,35600,35200,36000,34100,34500,36300,34500,34500,34100,34500,34100,34500,35900,35500,35500,34700,36300,35100,35500,35100,35900,36300,35500,35500,35900,35200,35200,35800,34500,34500,34500,34900,35200,37000,0,0,37000,33483,36200,95000,0,32736,37000,32500,34697,95000,31790,0,31969,36200,32554,0,34377,0,34435,0,35995,33755,0,34349,36200,0,36586,0,33915,34230,34313,34328,34261,33826,35097,36200,33927,33559,58435,32500,3100,-273000,-273000,-273000,93420,851,2678936,100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93420,851,2678936,100258,15475008,1068104,9462628,6.34,0.00,0.00,425422,124255,3096972,106215,,,,1324800,1324800,1324800,1324800,1324800,1324800,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,291000,4993000,7014000,0,0,4474000,Notcharging,191000000
1784645956.743481289,1264.95,35900,35900,36200,35800,36200,35800,36200,36200,35800,35600,35600,36000,36300,36000,35200,35600,35600,35600,35600,34900,36000,34500,34500,36300,34500,34500,34100,34500,34500,34900,35900,36300,35500,35500,36300,35500,35900,35500,35900,36600,35900,35900,36300,35600,34900,35400,34900,34900,34900,34900,35200,37000,0,0,37000,33496,36200,95000,0,32736,37000,32500,34715,95000,31790,0,31969,36200,32569,0,34402,0,34419,0,35903,33761,0,34351,35800,0,36602,0,33890,34227,34324,34361,34328,33960,35064,36600,33960,33659,58435,32500,3100,-273000,-273000,-273000,93420,851,2678936,100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93420,851,2678936,100258,15475008,1080416,9473628,6.34,0.00,0.00,425422,124256,3096972,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,78000,5031000,7014000,0,0,4474000,Notcharging,160000000
1784645957.204720924,1265.41,35900,35900,35800,35800,35800,35800,35800,36200,35400,34900,35600,35600,35900,35600,35600,35200,35600,35200,35200,34900,35600,34500,34900,36300,34900,34500,34500,34500,34500,34900,35500,35900,35500,34700,36300,35500,35900,35500,35500,36300,35500,35500,36300,35600,35200,35400,34900,34900,34900,35200,35200,37000,0,0,37000,33493,35800,95000,0,32736,37000,32500,34717,95000,31683,0,31969,35400,32551,0,34397,0,34449,0,35941,33768,0,34357,35400,0,36602,0,33893,34233,34346,34562,34294,33893,35064,35800,33960,33659,58334,32500,3100,-273000,-273000,-273000,93420,851,2678936,100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93420,851,2678936,100258,15475008,966448,8902720,6.34,0.00,0.00,425422,124256,3096972,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,159000,5018000,7014000,0,0,4474000,Notcharging,461000000
1784645957.677891028,1265.88,35100,35500,35400,35000,35000,35400,35400,35400,35000,35200,35200,35600,35500,34900,35600,35600,35200,35600,35200,34900,35600,34500,34900,35900,34900,34500,34100,34500,34500,34900,35900,35500,35500,34700,35900,35100,35900,35100,35500,35500,35500,35900,35500,35600,35200,35400,34500,34900,34500,35200,34900,37000,0,0,37000,33493,35800,95000,0,32736,37000,32500,34725,95000,31683,0,31969,35400,32556,0,34410,0,34473,0,35977,33761,0,34359,35400,0,36590,0,33902,34224,34367,34462,34328,33994,35064,35400,34027,33759,58166,32500,3100,-273000,-273000,-273000,93420,851,2678936,100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93420,851,2678936,100258,15475008,965092,8901280,6.34,0.00,0.00,425422,124256,3096972,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,78000,5036000,7014000,0,0,4474000,Notcharging,461000000
1784645958.145990507,1266.35,35500,35100,35400,35000,35000,35400,35800,35400,35400,34500,35200,34900,35100,35200,34900,35200,35200,35200,35200,34900,35200,34500,34900,35500,34900,34900,33700,34500,34100,34500,35500,35900,35100,34700,35500,35100,35500,34700,35500,35900,35500,35500,35500,35600,34900,35000,34500,34900,34500,34900,34500,37000,0,0,37000,33493,35800,95000,0,32736,37000,32500,34733,95000,31683,0,31969,35400,32551,0,34419,0,34489,0,35966,33752,0,34367,35000,0,36562,0,33893,34210,34400,34328,34361,33927,35064,35400,33960,33325,58300,32500,3100,-273000,-273000,-273000,93420,851,2678936,100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93420,851,2678936,100258,15475008,964088,8900264,6.34,0.00,0.00,425422,124256,3096972,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,75000,5032000,7014000,0,0,4474000,Notcharging,461000000
1784645958.620968424,1266.82,35100,35100,35800,35400,35000,35000,35000,35400,35000,34900,35600,35200,35500,35200,34900,34900,35200,35200,34900,34900,35200,34500,34900,35500,34500,34500,34100,34500,34100,34900,35100,35500,35500,34700,35500,35100,35500,34700,35100,35900,35100,35100,35500,35200,34900,35000,34500,34900,34500,35200,34900,37000,0,0,37000,33490,35400,95000,0,32736,37000,32500,34741,95000,31683,0,31969,35400,32542,0,34438,0,34498,0,35963,33771,0,34373,35000,0,36580,0,33912,34243,34406,34395,34294,33893,34830,35800,34027,34027,58334,32500,3100,-273000,-273000,-273000,93420,851,2678936,100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93420,851,2678936,100258,15475008,959332,8895496,6.82,0.00,0.00,425422,124256,3096972,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,162000,5023000,7014000,0,0,4474000,Notcharging,461000000
1784645959.088509778,1267.29,35900,35500,35800,35800,35400,35800,35800,35800,35400,34900,35600,35200,35500,35200,34900,35200,35200,35200,35200,34900,35200,34500,34500,35900,34900,34500,34100,34900,34500,34900,35500,35500,35100,34700,35900,35100,35500,34700,35500,35500,35100,35500,35500,35200,34900,35400,34500,35200,34900,34900,35200,37000,0,0,37000,33483,35800,95000,0,32736,37000,32500,34752,95000,31683,0,31969,35400,32527,0,34407,0,34525,0,35948,33768,0,34370,35400,0,36577,0,33899,34227,34413,34428,34395,33994,35130,35800,33893,33659,58300,32500,3100,-273000,-273000,-273000,93420,851,2678936,100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93420,851,2678936,100258,15475008,967296,8903460,6.82,0.00,0.00,425422,124256,3096972,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,147000,5010000,7014000,0,0,4474000,Notcharging,461000000
1784645959.578393475,1267.78,35500,35500,35800,35400,35400,35400,35800,35800,35000,34900,35200,35200,35900,35200,35200,35200,35200,35200,34900,34900,35600,34900,34900,35900,34900,34500,34100,34500,34500,34900,35500,35500,35100,34700,35900,35100,35500,34700,35100,35500,35100,35900,35900,35600,35200,35000,34500,34900,34500,34900,34900,37000,0,0,37000,33483,35400,95000,0,32736,37000,32500,34774,95000,31683,0,31969,35400,32548,0,34425,0,34535,0,35925,33764,0,34396,35000,0,36615,0,33884,34240,34435,34495,34462,33893,34863,35800,34027,33392,58267,32500,3100,-273000,-273000,-273000,93439,851,2679272,100265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93439,851,2679272,100265,15475008,917472,8853636,6.82,0.00,0.00,425422,124256,3097140,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,131000,5020000,7014000,0,0,4474000,Notcharging,461000000
1784645960.050032277,1268.25,35500,35500,35400,35000,35000,35000,35400,35400,35000,35200,35200,35200,35500,35200,34900,35200,35200,35600,35200,34900,35200,34500,34500,35500,34900,34500,34100,34900,34500,34900,35500,35500,35500,34700,35500,35500,35900,34700,35100,35500,35100,35100,35500,35200,34900,35000,34500,34900,34900,35200,34900,37000,0,0,37000,33496,35800,95000,0,32736,37000,32500,34760,95000,31683,0,31969,35000,32530,0,34435,0,34558,0,35928,33782,0,34399,35400,0,36622,0,33902,34243,34453,34428,34361,33893,35030,35400,34161,33860,58166,32500,3100,-273000,-273000,-273000,93439,851,2679272,100265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,7329,111624,251,93439,851,2679272,100265,15475008,921264,8857416,6.82,0.00,0.00,425422,124256,3097140,106216,,,,384000,384000,384000,384000,384000,384000,883200,883200,0,,,,,,0,,0,0,0,4953,320,1,94000,5022000,7014000,0,0,4474000,Notcharging,461000000
