chunk_idx,wall_us,n_tokens_processed,n_kv_cells
0,25264765685,512,512
1,25270802679,1024,1024
2,25276152213,1536,1536
3,25281579214,2048,2048
4,25287079222,2560,2560
5,25292654804,3072,3072
6,25298311244,3584,3584
7,25304049150,4096,4096
8,25309865525,4608,4608
9,25315745837,5120,5120
10,25321700852,5632,5632
11,25327733433,6144,6144
12,25333842375,6656,6656
13,25340026933,7168,7168
14,25346299386,7680,7680
15,25352634789,8192,8192
16,25359044981,8704,8704
17,25365540714,9216,9216
18,25373367130,9728,9728
19,25375582755,9737,9737
