step,token_id,token_text,wall_us,n_kv_cells,rss_kb,log_prob,nll,evicted_this_step
0,26155," fleet",117386424,9737,554504,-2.428002,2.428002,0
1,574," was",117470272,9738,534876,-0.633811,0.633811,0
2,6319," designed",117510025,9739,534868,-0.852161,0.852161,0
3,311," to",117543270,9740,534868,-0.008945,0.008945,0
4,387," be",117573659,9741,534756,-0.097204,0.097204,0
5,13171," capable",117603562,9742,534856,-0.885369,0.885369,0
6,315," of",117631401,9743,534976,-0.001738,0.001738,0
7,11039," fighting",117660596,9744,534976,-2.439848,2.439848,0
8,264," a",117690504,9745,534976,-0.742028,0.742028,0
9,1403," two",117720163,9746,534976,-1.077948,1.077948,0
10,12,"-",117749768,9747,534976,-1.379106,1.379106,0
11,5383,"ship",117779595,9748,534976,-0.867278,0.867278,0
12,8209," battle",117809755,9749,534976,-0.108282,0.108282,0
13,304," in",117839393,9750,534976,-0.878558,0.878558,0
14,11002," Japanese",117869898,9751,534976,-0.465341,0.465341,0
15,21160," waters",117899229,9752,534976,-0.007874,0.007874,0
16,323," and",117927262,9753,534960,-1.423204,1.423204,0
17,1053," would",117954845,9754,534976,-1.002629,1.002629,0
18,617," have",117982699,9755,534976,-1.794657,1.794657,0
19,1027," been",118010202,9756,534976,-0.546031,0.546031,0
20,279," the",118036764,9757,534976,-0.994048,0.994048,0
21,7928," largest",118064426,9758,534976,-0.432500,0.432500,0
22,26155," fleet",118093825,9759,534976,-0.638363,0.638363,0
23,3596," ever",118122296,9760,534976,-1.028198,1.028198,0
24,5918," built",118151260,9761,534972,-0.978862,0.978862,0
25,520," at",118180332,9762,534972,-0.806159,0.806159,0
26,430," that",118207907,9763,534972,-2.217206,2.217206,0
27,892," time",118235763,9764,534972,-0.003632,0.003632,0
28,662," .",118263132,9765,534972,-0.022989,0.022989,0
29,578," The",118290965,9766,534972,-0.235988,0.235988,0
30,2955," design",118317980,9767,534928,-0.931941,0.931941,0
31,315," of",118344658,9768,534928,-0.115176,0.115176,0
32,279," the",118370996,9769,534928,-0.008260,0.008260,0
33,25572," battles",118398848,9770,534928,-0.191092,0.191092,0
34,34322,"hips",118427025,9771,534928,-0.059972,0.059972,0
35,574," was",118455378,9772,534928,-0.182237,0.182237,0
36,28160," influenced",118484146,9773,534928,-0.487516,0.487516,0
37,555," by",118512892,9774,534928,-0.011978,0.011978,0
38,279," the",118541621,9775,534928,-0.055427,0.055427,0
39,11002," Japanese",118570255,9776,534928,-1.386695,1.386695,0
40,19574," Navy",118599136,9777,534928,-0.927800,0.927800,0
41,596,"'s",118627593,9778,534928,-0.118320,0.118320,0
42,12876," desire",118656120,9779,534928,-0.783699,0.783699,0
43,311," to",118683939,9780,534928,-0.010406,0.010406,0
44,10519," maintain",118710826,9781,534928,-0.432347,0.432347,0
45,264," a",118737149,9782,534928,-0.070058,0.070058,0
46,26155," fleet",118765120,9783,534928,-0.096841,0.096841,0
47,449," with",118792760,9784,534928,-2.397961,2.397961,0
48,520," at",118819839,9785,534928,-2.274772,2.274772,0
49,3325," least",118847824,9786,534920,-0.000026,0.000026,0
50,220," ",118876052,9787,534920,-0.003310,0.003310,0
51,2031,"70",118903498,9788,534920,-0.037495,0.037495,0
52,1034," %",118929826,9789,534920,-0.165144,0.165144,0
53,439," as",118956040,9790,534920,-0.054918,0.054918,0
54,1690," many",118984135,9791,534920,-0.000292,0.000292,0
55,6864," capital",119011388,9792,534920,-0.000643,0.000643,0
56,18198," ships",119037931,9793,534820,-0.001342,0.001342,0
57,439," as",119064479,9794,534760,-0.000749,0.000749,0
58,279," the",119092240,9795,534816,-0.001014,0.001014,0
59,2326," US",119119463,9796,534916,-0.000770,0.000770,0
60,19574," Navy",119146070,9797,534916,-0.001311,0.001311,0
61,662," .",119174126,9798,534976,-0.166897,0.166897,0
62,578," The",119200756,9799,534976,-0.280335,0.280335,0
63,358," I",119227213,9800,534976,-1.270235,1.270235,0
64,41,"J",119255183,9801,534976,-0.285124,0.285124,0
65,45,"N",119283094,9802,534976,-0.030679,0.030679,0
66,364," '",119310771,9803,534976,-0.328733,0.328733,0
67,82,"s",119340212,9804,534976,-0.000041,0.000041,0
68,26155," fleet",119367478,9805,534976,-0.128637,0.128637,0
69,574," was",119396427,9806,534976,-2.269762,2.269762,0
70,6319," designed",119424642,9807,534976,-1.092409,1.092409,0
71,311," to",119451677,9808,534976,-0.045487,0.045487,0
72,387," be",119479103,9809,534976,-0.021227,0.021227,0
73,13171," capable",119505723,9810,534872,-0.312937,0.312937,0
74,315," of",119532795,9811,534872,-0.000129,0.000129,0
75,11039," fighting",119559330,9812,534996,-0.009679,0.009679,0
76,264," a",119587496,9813,534996,-0.005051,0.005051,0
77,1403," two",119616368,9814,534996,-0.003337,0.003337,0
78,12,"-",119643964,9815,534996,-0.002587,0.002587,0
79,5383,"ship",119671939,9816,534996,-0.021466,0.021466,0
80,8209," battle",119700876,9817,534996,-0.001661,0.001661,0
81,304," in",119729631,9818,534996,-0.000915,0.000915,0
82,11002," Japanese",119758625,9819,534996,-0.000328,0.000328,0
83,21160," waters",119787186,9820,534996,-0.000149,0.000149,0
84,323," and",119816073,9821,534948,-0.007728,0.007728,0
85,1053," would",119843252,9822,534948,-0.035735,0.035735,0
86,617," have",119870551,9823,534948,-0.002366,0.002366,0
87,1027," been",119896998,9824,534948,-0.000352,0.000352,0
88,279," the",119924520,9825,534948,-0.000156,0.000156,0
89,7928," largest",119951271,9826,534948,-0.000155,0.000155,0
90,26155," fleet",119979374,9827,534948,-0.000495,0.000495,0
91,3596," ever",120007325,9828,534948,-0.000221,0.000221,0
92,5918," built",120035645,9829,534948,-0.000619,0.000619,0
93,520," at",120064455,9830,534948,-0.000226,0.000226,0
94,430," that",120093908,9831,534948,-0.000577,0.000577,0
95,892," time",120122548,9832,534948,-0.000015,0.000015,0
96,662," .",120151183,9833,534948,-0.014928,0.014928,0
97,578," The",120179034,9834,534948,-0.012533,0.012533,0
98,2955," design",120207090,9835,534948,-0.001225,0.001225,0
99,315," of",120235862,9836,534948,-0.003933,0.003933,0
100,279," the",120262986,9837,534948,-0.000071,0.000071,0
101,25572," battles",120290000,9838,534948,-0.005236,0.005236,0
102,34322,"hips",120316352,9839,534948,-0.005812,0.005812,0
103,574," was",120342773,9840,534948,-0.001987,0.001987,0
104,28160," influenced",120369418,9841,534948,-0.000323,0.000323,0
105,555," by",120397888,9842,534948,-0.000067,0.000067,0
