wall_clock_s,monotonic_s,cpullc-0-0_temp_mc,cpullc-0-1_temp_mc,cpu-0-2-1_temp_mc,cpu-0-3-0_temp_mc,cpu-0-3-1_temp_mc,cpu-0-4-0_temp_mc,cpu-0-4-1_temp_mc,cpu-0-5-0_temp_mc,cpu-0-5-1_temp_mc,cpullc-1-0_temp_mc,cpullc-1-1_temp_mc,qmx-1-0_temp_mc,qmx-0-0_temp_mc,qmx-1-1_temp_mc,qmx-1-2_temp_mc,qmx-1-3_temp_mc,qmx-1-4_temp_mc,cpu-1-0-0_temp_mc,cpu-1-0-1_temp_mc,cpu-1-1-0_temp_mc,cpu-1-1-1_temp_mc,nsphvx-0_temp_mc,nsphvx-1_temp_mc,qmx-0-1_temp_mc,nsphvx-2_temp_mc,nsphvx-3_temp_mc,nsphmx-0_temp_mc,nsphmx-1_temp_mc,nsphmx-2_temp_mc,nsphmx-3_temp_mc,gpuss-0_temp_mc,gpuss-1_temp_mc,gpuss-2_temp_mc,gpuss-3_temp_mc,qmx-0-2_temp_mc,gpuss-4_temp_mc,gpuss-5_temp_mc,gpuss-6_temp_mc,gpuss-7_temp_mc,gpuss-8_temp_mc,gpuss-9_temp_mc,gpuss-10_temp_mc,ddr_temp_mc,mdmss-0_temp_mc,mdmss-1_temp_mc,cpu-0-0-0_temp_mc,mdmss-2_temp_mc,mdmss-3_temp_mc,camera-0_temp_mc,camera-1_temp_mc,video_temp_mc,pmh0104_tz_temp_mc,socd_temp_mc,pmh0101-bcl-lvl0_temp_mc,pmr735d_tz_temp_mc,sys-therm-0_temp_mc,cpu-0-0-1_temp_mc,cpu-hw-trip-0_temp_mc,pmh0101-bcl-lvl1_temp_mc,shell_front_temp_mc,pm8010m_tz_temp_mc,wireless_temp_mc,sys-therm-2_temp_mc,cpu-hw-trip-1_temp_mc,shell_frame_temp_mc,pmh0101-bcl-lvl2_temp_mc,shell_back_temp_mc,cpu-0-1-0_temp_mc,sys-therm-3_temp_mc,vbat_temp_mc,sys-therm-4_temp_mc,pmih010x-ibat-lvl0_temp_mc,sys-therm-5_temp_mc,pmih010x-ibat-lvl1_temp_mc,sys-therm-6_temp_mc,sys-therm-7_temp_mc,pmih010x-bcl-lvl0_temp_mc,sys-therm-9_temp_mc,cpu-0-1-1_temp_mc,pmih010x-bcl-lvl1_temp_mc,sys-therm-12_temp_mc,pmih010x-bcl-lvl2_temp_mc,flash_temp_temp_mc,board_temp_temp_mc,svooc_mos_btb_usr_temp_mc,pmh0101_tz_temp_mc,pmh0110_d_tz_temp_mc,pmh0110_f_tz_temp_mc,pmh0110_g_tz_temp_mc,cpu-0-2-0_temp_mc,pmh0110_i_tz_temp_mc,pmih010x_tz_temp_mc,pmih010x_lite_tz_temp_mc,battery_temp_mc,usb_temp_mc,sdr0_pa_temp_mc,sdr0_temp_mc,mmw_ific0_temp_mc,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,sdb_w_completed,sdb_w_merged,sdb_sectors_w,sdb_ms_w,sdc_w_completed,sdc_w_merged,sdc_sectors_w,sdc_ms_w,sdd_w_completed,sdd_w_merged,sdd_sectors_w,sdd_ms_w,sde_w_completed,sde_w_merged,sde_sectors_w,sde_ms_w,sdf_w_completed,sdf_w_merged,sdf_sectors_w,sdf_ms_w,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,mem_total_kb,mem_free_kb,mem_avail_kb,psi_cpu_a10,psi_mem_a10,psi_io_a10,vmstat_pswpout,vmstat_pgmajfault,vmstat_pgpgout,vmstat_pswpin,probe_pid,probe_write_bytes,probe_read_bytes,cpu0_freq_hz,cpu1_freq_hz,cpu2_freq_hz,cpu3_freq_hz,cpu4_freq_hz,cpu5_freq_hz,cpu6_freq_hz,cpu7_freq_hz,cpu0_cool_state,cpu1_cool_state,cpu2_cool_state,cpu3_cool_state,cpu4_cool_state,cpu5_cool_state,cpu6_cool_state,cpu7_cool_state,gpu_busy_us,gpu_total_us,bat_current_ma,bat_voltage_mv,bat_phone_temp_dc,usb_online,usb_current_ua,usb_voltage_uv,bat_charge_uah,bat_power_now_uw,bat_current_now_ua,bat_voltage_now_uv,bat_status,gpu_clk_hz
1784669948.919033699,25257.12,40900,40100,40100,40100,40100,40100,40500,40900,40900,38700,39500,39100,40100,39100,38700,39100,38700,38700,38700,39500,39900,37200,37600,40500,37600,37200,37200,36800,37200,37600,38600,38200,38200,37800,40100,37800,38600,38200,38600,39000,38600,38600,39000,38400,37600,40500,37600,37600,37600,38000,38400,37000,0,0,37000,35888,40900,95000,0,34777,37000,34000,37314,95000,33593,0,33868,41300,34139,0,37071,0,37141,0,35992,36260,0,36895,40900,0,36764,0,36639,36815,36992,37037,36870,36402,38375,40500,36770,36168,56014,34000,3200,-273000,-273000,-273000,332891,779455,20323384,340953,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332891,779455,20323384,340953,15475008,790276,8865356,1.27,0.00,0.00,657270,359941,13114664,333667,,,,1440000,1440000,1440000,1440000,1440000,1440000,883200,883200,0,,,,,,0,,0,0,0,5035,340,1,384000,4989000,6876000,0,0,4454000,Full,191000000
1784669949.417039532,25257.62,40500,41300,41300,39300,39300,41600,42800,40100,40100,41500,43400,41100,39700,41100,39900,40300,40300,39100,39900,45700,49200,37200,37200,39700,37200,37200,36800,37200,37200,37600,38200,38600,38200,37400,40100,38200,38200,38200,39000,39000,38200,38600,39000,38400,38000,41600,37200,37600,37600,37600,38400,37000,0,0,37000,35888,43200,95000,0,34777,37000,34000,37357,95000,33593,0,33868,40100,34142,0,37065,0,37135,0,35938,36234,0,36921,39300,0,36761,0,36656,36803,37021,36870,36970,36402,38274,41300,37338,36100,55880,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,770780,8845832,1.27,0.00,0.00,657270,359941,13114684,333667,,,,1324800,1324800,1324800,1324800,1324800,1324800,2438400,2438400,0,,,,,,0,,0,0,0,5035,340,1,494000,4933000,6876000,0,0,4454000,Full,191000000
1784669949.717272345,25257.92,40500,40900,40900,39700,39700,40900,41300,40500,40100,41800,42200,43000,40100,42600,42600,42200,43000,42600,44600,39900,40700,37600,38000,40500,38000,37600,37200,38000,38000,38700,39000,39000,39000,38200,40500,38200,39000,38600,39300,39300,39300,39000,40100,38700,38000,40100,37200,38000,38700,38000,40300,37000,0,0,37000,35888,40900,95000,0,34777,37000,34000,37379,95000,33593,0,33868,40100,34136,0,37065,0,37164,0,36026,36254,0,36908,39700,0,36764,0,36628,36815,37037,36937,36937,36535,38308,41300,37338,36335,56048,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,606608,7826936,1.27,0.00,0.00,657270,359942,13114684,333667,,,,1113600,1113600,1113600,1113600,1113600,1113600,883200,883200,0,,,,,,0,,0,0,0,5035,340,1,412000,4944000,6876000,0,0,4454000,Full,282000000
1784669950.031866199,25258.23,41300,41300,40500,40500,40500,41300,41300,41600,41600,40300,41100,41100,40100,41100,41100,40700,41100,41500,41800,40700,43000,38000,38000,40900,38000,38400,37200,38000,38000,38400,39300,39300,39000,38600,40500,39000,39300,38600,39300,39700,39300,39000,39700,39100,38400,40900,38000,38400,38700,38700,39100,37000,0,0,37000,35888,41300,95000,0,34777,37000,34000,37391,95000,33593,0,33868,40900,34145,0,37094,0,37196,0,35960,36254,0,36923,40500,0,36772,0,36625,36806,37065,37104,36970,36602,38609,41300,37171,36368,55847,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,606036,7299260,1.27,0.00,0.00,657270,359942,13114684,333667,,,,1996800,1996800,1996800,1996800,1996800,1996800,1382400,1382400,0,,,,,,0,,0,0,0,5035,340,1,444000,4958000,6876000,0,0,4454000,Full,342000000
1784669950.308883230,25258.51,40100,40100,40500,39700,39700,40100,40500,40500,39700,43400,42200,44900,40100,44200,44900,44200,45300,45700,48800,39900,40700,38000,37600,40100,38000,38000,37600,38000,38000,38400,39000,39000,39300,38600,40100,39000,39000,38600,39300,39700,39300,39300,40500,39900,38400,39700,38400,39100,39100,38700,39500,37000,0,0,37000,35877,40500,95000,0,34777,37000,34000,37420,95000,33593,0,33868,39700,34145,0,37109,0,37199,0,36004,36245,0,36929,40500,0,36750,0,36645,36812,37094,36937,37070,36469,38408,40900,37873,36469,55880,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,578904,7234200,1.40,0.00,0.00,657270,359942,13114684,333667,,,,1555200,1555200,1555200,1555200,1555200,1555200,2438400,2438400,0,,,,,,0,,0,0,0,5035,340,1,494000,4929000,6876000,0,0,4454000,Full,461000000
1784669950.595521563,25258.80,41300,41300,41600,40500,40100,42000,42800,40900,40100,43000,42600,43800,40100,43400,43400,43400,43400,43400,43800,40700,41100,38400,38700,40500,38400,38400,38400,38700,39100,40300,39700,39700,39700,39000,40900,39000,39700,39000,39700,40100,39700,39700,40500,39900,39100,41600,38000,39100,39900,39500,40300,37000,0,0,37000,35885,42400,95000,0,34777,37000,34000,37437,95000,33593,0,33868,40100,34120,0,37100,0,37242,0,35960,36245,0,36940,39700,0,36753,0,36628,36796,37135,37104,37137,36602,38341,41300,37739,36368,55779,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,546168,7199720,1.40,0.00,0.00,657270,359942,13114684,333667,,,,998400,998400,998400,998400,998400,998400,2438400,2438400,0,,,,,,0,,0,0,0,5035,340,1,494000,4931000,6876000,0,0,4454000,Full,461000000
1784669950.906650105,25259.11,41700,42000,42400,40500,40100,42800,44000,40900,40100,42600,44900,42200,40900,42600,41100,41800,41800,40300,41100,47300,50800,38400,38700,40900,38700,38400,38400,38400,38400,39500,39300,39300,39300,38600,41300,38600,39000,39000,39300,39700,39700,39700,40500,39500,38700,43200,38400,39100,39500,39100,41100,37000,0,0,37000,35877,44800,95000,0,34777,37000,34000,37446,95000,33593,0,33868,40500,34150,0,37109,0,37280,0,35972,36231,0,36941,40100,0,36768,0,36619,36815,37163,37137,37137,36669,38375,42400,38141,35966,55880,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,539764,7193300,1.40,0.00,0.00,657270,359942,13114684,333667,,,,1228800,1228800,1228800,1228800,1228800,1228800,2438400,2438400,0,,,,,,0,,0,0,0,5035,340,1,191000,5005000,6876000,0,0,4454000,Full,461000000
1784669951.212049011,25259.41,42400,42800,42800,40500,40900,43600,44400,41600,41600,43000,45300,41800,40900,42200,41500,41500,41500,40700,40700,47700,51500,38400,38700,40900,38400,38400,38000,38700,38400,39100,39300,39300,39300,38600,40900,39000,39300,39300,39300,40100,39700,39300,40100,39500,38400,44400,38400,38700,39500,39100,40300,37000,0,0,37000,35877,45900,95000,0,34777,37000,34000,37477,95000,33593,0,33868,41300,34145,0,37161,0,37286,0,35978,36237,0,36938,40500,0,36784,0,36622,36799,37211,37104,37037,36770,38742,42800,38241,36201,55813,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,531868,7185404,1.40,0.00,0.00,657270,359942,13114684,333667,,,,1900800,1900800,1900800,1900800,1900800,1900800,2438400,2438400,0,,,,,,0,,0,0,0,5035,340,1,494000,4929000,6876000,0,0,4454000,Full,461000000
1784669951.504199479,25259.71,41300,41700,41600,41300,40900,41600,42400,41300,41300,40700,41500,41100,41700,41500,41100,41500,41500,41100,41100,40300,41100,38700,38400,42000,38700,38700,38000,38700,38700,39100,44400,45100,44800,44400,42000,45100,45500,44000,44800,45100,44400,44800,44000,39500,38700,41300,38000,39100,39900,39500,41500,37000,0,0,37000,35891,42000,95000,0,34777,37000,34000,37525,95000,33593,0,33868,41300,34104,0,37138,0,37305,0,36014,36251,0,36970,40900,0,36752,0,36617,36799,37261,37037,37137,37639,38609,42800,37840,36402,55779,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,528312,7154996,1.40,0.00,0.00,657270,359942,13114684,333667,,,,1670400,1670400,1670400,1670400,1670400,1670400,883200,883200,0,,,,,,0,,0,0,0,5035,340,1,494000,4932000,6876000,0,0,4454000,Full,1200000000
1784669951.788294323,25259.99,41300,41700,42000,41600,41600,41600,41600,42000,41300,40700,41500,41800,42800,41800,41800,42200,41800,41800,41500,40300,41100,39500,39500,42400,39500,39100,38700,39100,38700,39500,46700,47800,47100,47100,43200,48200,47500,45900,46700,47100,46700,46700,46300,41100,39500,41300,39100,40300,39500,39900,40300,37000,0,0,37000,35877,41600,95000,0,34777,37000,34000,37665,95000,33593,0,33868,40900,34117,0,37152,0,37372,0,35969,36257,0,36960,40500,0,36724,0,36611,36796,37290,37405,37338,38274,38742,42800,37739,36870,55779,34000,3200,-273000,-273000,-273000,332894,779455,20323424,340954,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10392,14010,244768,2199,332894,779455,20323424,340954,15475008,544664,7171368,1.40,0.00,0.00,657270,359942,13114684,333667,,,,787200,787200,787200,787200,787200,998400,883200,883200,0,,,,,,0,,415181,1001797,0,5035,340,1,494000,4935000,6876000,0,0,4454000,Full,1200000000
