wall_clock_s,monotonic_s,cpullc-0-0_temp_mc,cpullc-0-1_temp_mc,cpu-0-2-1_temp_mc,cpu-0-3-0_temp_mc,cpu-0-3-1_temp_mc,cpu-0-4-0_temp_mc,cpu-0-4-1_temp_mc,cpu-0-5-0_temp_mc,cpu-0-5-1_temp_mc,cpullc-1-0_temp_mc,cpullc-1-1_temp_mc,qmx-1-0_temp_mc,qmx-0-0_temp_mc,qmx-1-1_temp_mc,qmx-1-2_temp_mc,qmx-1-3_temp_mc,qmx-1-4_temp_mc,cpu-1-0-0_temp_mc,cpu-1-0-1_temp_mc,cpu-1-1-0_temp_mc,cpu-1-1-1_temp_mc,nsphvx-0_temp_mc,nsphvx-1_temp_mc,qmx-0-1_temp_mc,nsphvx-2_temp_mc,nsphvx-3_temp_mc,nsphmx-0_temp_mc,nsphmx-1_temp_mc,nsphmx-2_temp_mc,nsphmx-3_temp_mc,gpuss-0_temp_mc,gpuss-1_temp_mc,gpuss-2_temp_mc,gpuss-3_temp_mc,qmx-0-2_temp_mc,gpuss-4_temp_mc,gpuss-5_temp_mc,gpuss-6_temp_mc,gpuss-7_temp_mc,gpuss-8_temp_mc,gpuss-9_temp_mc,gpuss-10_temp_mc,ddr_temp_mc,mdmss-0_temp_mc,mdmss-1_temp_mc,cpu-0-0-0_temp_mc,mdmss-2_temp_mc,mdmss-3_temp_mc,camera-0_temp_mc,camera-1_temp_mc,video_temp_mc,pmh0104_tz_temp_mc,socd_temp_mc,pmh0101-bcl-lvl0_temp_mc,pmr735d_tz_temp_mc,sys-therm-0_temp_mc,cpu-0-0-1_temp_mc,cpu-hw-trip-0_temp_mc,pmh0101-bcl-lvl1_temp_mc,shell_front_temp_mc,pm8010m_tz_temp_mc,wireless_temp_mc,sys-therm-2_temp_mc,cpu-hw-trip-1_temp_mc,shell_frame_temp_mc,pmh0101-bcl-lvl2_temp_mc,shell_back_temp_mc,cpu-0-1-0_temp_mc,sys-therm-3_temp_mc,vbat_temp_mc,sys-therm-4_temp_mc,pmih010x-ibat-lvl0_temp_mc,sys-therm-5_temp_mc,pmih010x-ibat-lvl1_temp_mc,sys-therm-6_temp_mc,sys-therm-7_temp_mc,pmih010x-bcl-lvl0_temp_mc,sys-therm-9_temp_mc,cpu-0-1-1_temp_mc,pmih010x-bcl-lvl1_temp_mc,sys-therm-12_temp_mc,pmih010x-bcl-lvl2_temp_mc,flash_temp_temp_mc,board_temp_temp_mc,svooc_mos_btb_usr_temp_mc,pmh0101_tz_temp_mc,pmh0110_d_tz_temp_mc,pmh0110_f_tz_temp_mc,pmh0110_g_tz_temp_mc,cpu-0-2-0_temp_mc,pmh0110_i_tz_temp_mc,pmih010x_tz_temp_mc,pmih010x_lite_tz_temp_mc,battery_temp_mc,usb_temp_mc,sdr0_pa_temp_mc,sdr0_temp_mc,mmw_ific0_temp_mc,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,sdb_w_completed,sdb_w_merged,sdb_sectors_w,sdb_ms_w,sdc_w_completed,sdc_w_merged,sdc_sectors_w,sdc_ms_w,sdd_w_completed,sdd_w_merged,sdd_sectors_w,sdd_ms_w,sde_w_completed,sde_w_merged,sde_sectors_w,sde_ms_w,sdf_w_completed,sdf_w_merged,sdf_sectors_w,sdf_ms_w,sda_w_completed,sda_w_merged,sda_sectors_w,sda_ms_w,mem_total_kb,mem_free_kb,mem_avail_kb,psi_cpu_a10,psi_mem_a10,psi_io_a10,vmstat_pswpout,vmstat_pgmajfault,vmstat_pgpgout,vmstat_pswpin,probe_pid,probe_write_bytes,probe_read_bytes,cpu0_freq_hz,cpu1_freq_hz,cpu2_freq_hz,cpu3_freq_hz,cpu4_freq_hz,cpu5_freq_hz,cpu6_freq_hz,cpu7_freq_hz,cpu0_cool_state,cpu1_cool_state,cpu2_cool_state,cpu3_cool_state,cpu4_cool_state,cpu5_cool_state,cpu6_cool_state,cpu7_cool_state,gpu_busy_us,gpu_total_us,bat_current_ma,bat_voltage_mv,bat_phone_temp_dc,usb_online,usb_current_ua,usb_voltage_uv,bat_charge_uah,bat_power_now_uw,bat_current_now_ua,bat_voltage_now_uv,bat_status,gpu_clk_hz
1784668965.110546783,24273.31,39000,38600,38500,38500,38500,38500,38500,38900,38500,37600,38400,38000,38200,38000,37600,38000,37600,37600,37600,38400,38700,36000,36400,39000,36400,36400,35600,36400,36400,36800,37000,37400,37400,37000,38600,37000,37400,37000,37800,37800,37400,37000,37800,37200,37200,38100,36400,36800,36400,37200,37200,37000,0,0,37000,35382,38500,95000,0,33753,37000,31000,36924,95000,33049,0,32831,38500,31616,0,36733,0,36643,0,35971,35737,0,36454,38100,0,36721,0,35977,36746,36475,36636,36469,35866,37539,38500,36100,35666,56519,31000,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,557948,8906144,1.88,0.00,0.00,655551,357093,12677832,330988,,,,998400,998400,998400,998400,998400,998400,883200,883200,0,,,,,,0,,0,0,0,5032,330,1,331000,4985000,6944000,0,0,4465000,Full,1200000000
1784668965.658480012,24273.86,39700,40100,40500,38500,38500,40900,41600,39300,39300,40700,43000,40300,39000,40300,39100,39900,39500,38400,39100,45300,47300,36400,36800,39300,36800,36400,36000,36800,36400,37200,37800,37800,37800,37000,39300,37400,37800,37800,37800,38600,37800,37800,38600,37600,36800,41300,36800,37200,37200,37200,38700,37000,0,0,37000,35367,42400,95000,0,33753,37000,31000,36924,95000,33049,0,32831,38900,31619,0,36708,0,36640,0,36002,35724,0,36450,38900,0,36768,0,35956,36746,36487,36803,36602,35900,37438,40100,36636,36201,56452,31000,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,502464,8849456,1.88,0.00,0.00,655551,357093,12677832,330988,,,,1113600,1113600,1113600,1113600,1113600,1113600,2438400,2438400,0,,,,,,0,,0,0,0,5032,330,1,494000,4928000,6944000,0,0,4465000,Full,191000000
1784668965.963566678,24274.16,41700,42800,42000,38900,39300,43200,45100,40100,39700,41500,43800,41100,39700,41100,40300,40700,40300,39500,39500,46100,50000,36800,37200,40100,37200,36800,36400,36800,36800,37600,37800,38200,37800,37000,39700,37800,38200,37800,38200,38600,38200,38200,39000,38000,36800,43200,36800,37600,37600,37600,39500,37000,0,0,37000,35361,44800,95000,0,33753,37000,31000,36944,95000,33049,0,32831,40100,31625,0,36718,0,36652,0,36019,35718,0,36445,40100,0,36707,0,35956,36708,36493,36836,36602,35866,37572,41600,36703,35666,56418,31000,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,492640,8370648,1.88,0.00,0.00,655551,357093,12677832,330988,,,,1900800,1900800,1900800,1900800,1900800,1900800,2438400,2438400,0,,,,,,0,,0,0,0,5032,330,1,494000,4933000,6944000,0,0,4465000,Full,222000000
1784668966.239880012,24274.44,40100,39700,40100,39300,39300,40100,40500,40100,39700,39900,40300,40300,39300,40300,39900,39900,39900,39500,39500,39900,40700,37200,37200,40100,37200,37200,36400,37200,36800,38000,38600,38600,38600,37800,39700,38200,38600,38600,39000,39300,39000,39000,39700,38400,37600,39700,37200,37600,38400,38000,38700,37000,0,0,37000,35361,40100,95000,0,33753,37000,31000,36944,95000,33049,0,32831,40100,31625,0,36708,0,36671,0,35964,35701,0,36417,40500,0,36695,0,35936,36721,36499,36770,36469,36067,37873,40500,36803,35933,56384,31000,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,490000,7842040,1.72,0.00,0.00,655551,357093,12677832,330988,,,,1228800,1228800,1228800,1228800,1228800,1228800,883200,883200,0,,,,,,0,,768777,1002469,0,5032,330,1,256000,4935000,6944000,0,34,4462000,Full,160000000
1784668966.612059126,24274.81,40900,41700,41600,39300,39300,42000,43200,39700,39700,41500,43800,41100,39300,41100,39900,40300,40300,39500,39900,46100,49200,37200,37200,40100,37600,37200,36800,37200,37600,38000,38600,38200,38600,37800,40100,37800,38200,38200,38600,39000,38600,38600,39300,38400,37600,42000,37200,38000,38000,38000,39100,37000,0,0,37000,35345,43600,95000,0,33753,37000,31100,36957,95000,33049,0,32831,40100,31625,0,36727,0,36671,0,36002,35713,0,36431,40100,0,36728,0,35914,36708,36546,36803,36435,36000,37840,41300,37037,35732,56384,31100,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,477276,7265660,1.72,0.00,0.00,655551,357093,12677832,330988,,,,1324800,1324800,1324800,1324800,1324800,1324800,2438400,2438400,0,,,,,,0,,0,0,0,5032,330,1,494000,4933000,6944000,0,34,4462000,Full,382000000
1784668966.910426366,24275.11,41300,42000,41300,39700,40100,42400,43200,41300,41300,41800,43000,41800,40100,41500,40700,41100,41100,39900,40300,43000,44200,37600,37200,40100,38000,37600,36800,37600,37600,38400,38600,38600,39000,37800,40100,38200,38600,38600,39000,39000,39000,39000,39300,38400,38000,41600,37200,37600,38700,38400,40700,37000,0,0,37000,35335,44000,95000,0,33753,37000,31100,36973,95000,33049,0,32831,42000,31627,0,36727,0,36727,0,36041,35704,0,36428,41600,0,36765,0,35939,36708,36558,36903,36469,36000,38207,41300,37171,35799,56351,31100,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,477416,7264048,1.72,0.00,0.00,655551,357093,12677832,330988,,,,1324800,1324800,1324800,1324800,1324800,1324800,2438400,2438400,0,,,,,,0,,0,0,0,5032,330,1,494000,4936000,6944000,0,34,4462000,Full,382000000
1784668967.201233136,24275.40,41300,41700,41600,39700,40100,42400,43600,40500,40500,41500,43800,41100,40100,41100,40300,40700,40700,39900,39900,46100,50000,37600,37600,40100,37600,37200,36800,37600,37600,38000,38600,38600,38600,37800,40100,38200,38200,37800,38600,39300,39000,38600,39300,38400,38000,42000,37600,38000,38700,38400,41100,37000,0,0,37000,35330,43600,95000,0,33753,37000,31100,37009,95000,32987,0,32831,40500,31627,0,36724,0,36746,0,35974,35710,0,36431,39700,0,36712,0,35924,36712,36611,36970,36703,36067,37840,41600,37338,35799,56519,31100,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,482188,7268824,1.72,0.00,0.00,655551,357093,12677832,330988,,,,787200,787200,787200,787200,787200,787200,2438400,2438400,0,,,,,,0,,0,0,0,5032,330,1,494000,4933000,6944000,0,34,4462000,Full,382000000
1784668967.519679386,24275.72,41300,42000,41600,39700,39300,42800,44000,40500,40900,41800,43800,41500,40100,41500,40300,40700,40700,39900,40300,46900,49200,37600,37600,40500,37600,37200,37200,38000,37600,38400,38600,38600,38600,37800,40100,38200,38600,38200,39000,39000,38600,39000,39300,38700,37600,42800,37200,38000,38700,38700,40700,37000,0,0,37000,35325,44400,95000,0,33753,37000,31100,37018,95000,32987,0,32831,40100,31627,0,36727,0,36755,0,35916,35697,0,36428,40100,0,36730,0,35907,36696,36661,36937,36535,36301,38040,42000,37371,36168,56283,31100,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,482100,7268736,1.72,0.00,0.00,655551,357093,12677832,330988,,,,1785600,1785600,1785600,1785600,1785600,1785600,2438400,2438400,0,,,,,,0,,0,0,0,5032,330,1,497000,4932000,6944000,0,34,4462000,Full,382000000
1784668967.802398448,24276.00,40500,40500,40900,40500,40100,40500,40900,41300,41300,41500,43400,41500,40900,41500,40300,41100,41100,39900,40700,43400,44600,37600,37600,41300,38000,37600,37200,38000,38000,38400,42800,44400,43600,43200,41300,44000,43600,42400,43200,44000,42800,43200,42800,39100,38400,40100,37600,38400,39100,38700,39900,37000,0,0,37000,35328,40900,95000,0,33753,37000,31100,37028,95000,32987,0,32831,40100,31637,0,36755,0,36808,0,35977,35701,0,36453,40100,0,36744,0,35907,36727,36686,36803,36602,36870,38040,41600,37338,36168,56250,31100,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,487628,7258536,1.72,0.00,0.00,655551,357093,12677832,330988,,,,1113600,1113600,1113600,1113600,1113600,1113600,883200,883200,0,,,,,,0,,0,0,0,5032,330,1,494000,4929000,6944000,0,34,4462000,Full,1200000000
1784668968.099892407,24276.30,40900,40900,41300,41300,41300,40900,40900,40900,40500,39900,40700,40700,42000,40700,40700,41100,40700,40300,40300,39900,40700,38000,38000,41700,38400,38400,37600,38000,38000,38400,45100,46700,45900,45900,41700,46700,46700,44800,45900,46700,45500,45900,45100,40700,39100,40500,38700,39900,39100,39100,39100,37000,0,0,37000,35311,40500,95000,0,33753,37000,31100,37170,95000,32987,0,32831,40500,31637,0,36733,0,36830,0,35993,35685,0,36466,40100,0,36723,0,35904,36702,36723,36903,36636,37672,38341,42000,37338,36435,56283,31100,2900,-273000,-273000,-273000,323665,779280,19463480,336247,63,0,224,22,126,0,448,44,0,0,0,0,1640,19443,402336,702,10390,14010,244760,2199,323665,779280,19463480,336247,15475008,484280,7255192,1.72,0.00,0.00,655551,357093,12677832,330988,,,,1113600,1113600,1113600,1113600,1113600,1113600,883200,883200,0,,,,,,0,,0,0,0,5032,330,1,494000,4932000,6944000,0,34,4462000,Full,1200000000
